Team,Name,Number
Team=Algeria,ABADA,3
Team=Algeria,AMOURA,18
Team=Algeria,AOUAR,8
Team=Algeria,AÏT NOURI,15
Team=Algeria,BELAID,5
Team=Algeria,BELGHALI,17
Team=Algeria,BENBOT,16
Team=Algeria,BENBOUALI,12
Team=Algeria,BENSEBAINI,21
Team=Algeria,BENTALEB,19
Team=Algeria,BOUDAOUI,14
Team=Algeria,BOULBINA,20
Team=Algeria,CHAIBI,10
Team=Algeria,CHRGUI,26
Team=Algeria,GHEDJEMIS,25
Team=Algeria,GOUIRI,9
Team=Algeria,HADJ MOUSSA,11
Team=Algeria,HADJAM,13
Team=Algeria,MAHREZ,7
Team=Algeria,MANDI,2
Team=Algeria,MASTIL,1
Team=Algeria,MAZA,22
Team=Algeria,TITRAOUI,24
Team=Algeria,TOUGAI,4
Team=Algeria,ZERROUKI,6
Team=Algeria,ZIDANE,23
Team=Argentina,ALMADA,16
Team=Argentina,SENESI,2
Team=Argentina,BARCO,8
Team=Argentina,DE PAUL,7
Team=Argentina,E. FERNANDEZ,24
Team=Argentina,E. MARTINEZ,23
Team=Argentina,J. ALVAREZ,9
Team=Argentina,L. MARTINEZ,22
Team=Argentina,LO CELSO,11
Team=Argentina,LOPEZ,21
Team=Argentina,MAC ALLISTER,20
Team=Argentina,MARTÍNEZ,6
Team=Argentina,MEDINA,25
Team=Argentina,MESSI,10
Team=Argentina,MOLINA,26
Team=Argentina,MONTIEL,4
Team=Argentina,MUSSO,1
Team=Argentina,N. GONZALEZ,15
Team=Argentina,NICO PAZ,18
Team=Argentina,OTAMENDI,19
Team=Argentina,PALACIOS,14
Team=Argentina,PAREDES,5
Team=Argentina,ROMERO,13
Team=Argentina,RULLI,12
Team=Argentina,SIMEONE,17
Team=Argentina,TAGLIAFICO,3
Team=Australia,BEACH,18
Team=Australia,BEHICH,16
Team=Australia,BOS,5
Team=Australia,BURGESS,21
Team=Australia,CIRCATI,3
Team=Australia,DEGENEK,2
Team=Australia,DEVLIN,14
Team=Australia,GERIA,6
Team=Australia,HERRINGTON,25
Team=Australia,HRUSTIC,10
Team=Australia,IRANKUNDA,17
Team=Australia,IRVINE,22
Team=Australia,ITALIANO,4
Team=Australia,IZZO,12
Team=Australia,LECKIE,7
Team=Australia,MABIL,11
Team=Australia,METCALFE,8
Team=Australia,O'NEILL,13
Team=Australia,OKON-ENGSTLER,24
Team=Australia,RYAN,1
Team=Australia,SOUTTAR,19
Team=Australia,TOURE,9
Team=Australia,TREWIN,15
Team=Australia,VELUPILLAY,23
Team=Australia,VOLPATO,20
Team=Australia,YENGI,26
Team=Austria,AFFENGRUBER,2
Team=Austria,ALABA,8
Team=Austria,ARNAUTOVIC,7
Team=Austria,LJUBIČIĆ,19
Team=Austria,CHUKWUEMEKA,17
Team=Austria,DANSO,3
Team=Austria,FRIEDL,23
Team=Austria,GREGORITSCH,11
Team=Austria,GRILLITSCH,10
Team=Austria,KALAJDZIC,14
Team=Austria,LAIMER,20
Team=Austria,LIENHART,15
Team=Austria,MWENE,16
Team=Austria,PENTZ,13
Team=Austria,POSCH,5
Team=Austria,PRASS,22
Team=Austria,SABITZER,9
Team=Austria,SCHLAGER,1
Team=Austria,SCHMID,18
Team=Austria,SCHÖPF,26
Team=Austria,SEIWALD,6
Team=Austria,SVOBODA,25
Team=Austria,WANNER,24
Team=Austria,WIEGELE,12
Team=Austria,WIMMER,21
Team=Austria,XAVER,4
Team=Belgium,CASTAGNE,21
Team=Belgium,COURTOIS,1
Team=Belgium,DE BRUYNE,7
Team=Belgium,DE CUYPER,5
Team=Belgium,DE KETELAERE,17
Team=Belgium,DE WINTER,16
Team=Belgium,DEBAST,2
Team=Belgium,DOKU,11
Team=Belgium,FERNANDEZ-PARDO,26
Team=Belgium,LAMMENS,12
Team=Belgium,LUKAKU,9
Team=Belgium,LUKEBAKIO,14
Team=Belgium,MECHELE,4
Team=Belgium,MEUNIER,15
Team=Belgium,MOREIRA,19
Team=Belgium,NGOY,25
Team=Belgium,ONANA,24
Team=Belgium,PENDERS,13
Team=Belgium,RASKIN,23
Team=Belgium,SAELEMAEKERS,22
Team=Belgium,SEYS,18
Team=Belgium,THEATE,3
Team=Belgium,TIELEMANS,8
Team=Belgium,TROSSARD,10
Team=Belgium,VANAKEN,20
Team=Belgium,WITSEL,6
Team=Bosnia and Herzegovina,ALAJBEGOVIĆ,19
Team=Bosnia and Herzegovina,BAJRAKTAREVIĆ,20
Team=Bosnia and Herzegovina,BAŠIĆ,13
Team=Bosnia and Herzegovina,BAŽDAR,9
Team=Bosnia and Herzegovina,BURNIĆ,17
Team=Bosnia and Herzegovina,DEDIĆ,7
Team=Bosnia and Herzegovina,DEMIROVIĆ,10
Team=Bosnia and Herzegovina,DŽEKO,11
Team=Bosnia and Herzegovina,GIGOVIĆ,8
Team=Bosnia and Herzegovina,HADŽIAHMETOVIĆ,16
Team=Bosnia and Herzegovina,HADŽIKADUNIĆ,3
Team=Bosnia and Herzegovina,JURKAS,12
Team=Bosnia and Herzegovina,KATIĆ,18
Team=Bosnia and Herzegovina,KOLAŠINAC,5
Team=Bosnia and Herzegovina,LUKIĆ,25
Team=Bosnia and Herzegovina,MAHMIĆ,26
Team=Bosnia and Herzegovina,MEMIĆ,15
Team=Bosnia and Herzegovina,MUHAREMOVIĆ,4
Team=Bosnia and Herzegovina,MUJAKIĆ,2
Team=Bosnia and Herzegovina,RADELJIĆ,21
Team=Bosnia and Herzegovina,TABAKOVIĆ,23
Team=Bosnia and Herzegovina,TAHIROVIĆ,6
Team=Bosnia and Herzegovina,VASILJ,1
Team=Bosnia and Herzegovina,ZLOMISLIĆ,22
Team=Bosnia and Herzegovina,MALIĆ,24
Team=Bosnia and Herzegovina,ŠUNJIĆ,14
Team=Brazil,A. BECKER,1
Team=Brazil,ALEX SANDRO,6
Team=Brazil,BREMER,14
Team=Brazil,BRUNO G.,8
Team=Brazil,CASEMIRO,5
Team=Brazil,CUNHA,9
Team=Brazil,DANILO,13
Team=Brazil,DANILO S.,18
Team=Brazil,DOUGLAS S.,16
Team=Brazil,EDERSON,23
Team=Brazil,ENDRICK,19
Team=Brazil,FABINHO,17
Team=Brazil,GABRIEL,3
Team=Brazil,IBAÑEZ,24
Team=Brazil,L. HENRIQUE,21
Team=Brazil,L. PAQUETÁ,20
Team=Brazil,LÉO PEREIRA,15
Team=Brazil,MARQUINHOS,4
Team=Brazil,MARTINELLI,22
Team=Brazil,NEYMAR JR,10
Team=Brazil,RAPHINHA,11
Team=Brazil,RAYAN,26
Team=Brazil,THIAGO,25
Team=Brazil,VINI JR.,7
Team=Brazil,ÉDERSON S.,2
Team=Brazil,WEVERTON,12
Team=Canada,AHMED,20
Team=Canada,BOMBITO,15
Team=Canada,BUCHANAN,17
Team=Canada,CHOINIÈRE,6
Team=Canada,CORNELIUS,13
Team=Canada,CRÉPEAU,16
Team=Canada,DAVIES,19
Team=Canada,DE FOUGEROLLES,4
Team=Canada,EUSTÀQUIO,7
Team=Canada,GOODMAN,18
Team=Canada,J. DAVID,10
Team=Canada,JOHNSTON,2
Team=Canada,JONES,3
Team=Canada,KONÉ,8
Team=Canada,LARIN,9
Team=Canada,LARYEA,22
Team=Canada,NELSON,26
Team=Canada,MILLAR,11
Team=Canada,OLUWASEYI,12
Team=Canada,OSORIO,21
Team=Canada,PROMISE,24
Team=Canada,SALIBA,25
Team=Canada,SHAFFELBURG,14
Team=Canada,SIGUR,23
Team=Canada,ST. CLAIR,1
Team=Canada,WATERMAN,5
Team=Cape Verde,ARCANJO,18
Team=Cape Verde,BENCHIMOL,9
Team=Cape Verde,BORGES,3
Team=Cape Verde,COSTA,5
Team=Cape Verde,D. DUARTE,14
Team=Cape Verde,DA COSTA,21
Team=Cape Verde,DOS SANTOS,23
Team=Cape Verde,HÉLIO,26
Team=Cape Verde,JOVANE,7
Team=Cape Verde,JOÃO PAULO,8
Team=Cape Verde,KELVIN,25
Team=Cape Verde,KEVIN L.,6
Team=Cape Verde,L. DUARTE,15
Team=Cape Verde,LIVRAMENTO,19
Team=Cape Verde,LOPES,4
Team=Cape Verde,LOPES CABRAL,13
Team=Cape Verde,MARCIO,12
Team=Cape Verde,MONTEIRO,10
Team=Cape Verde,MOREIRA,22
Team=Cape Verde,RODRIGUES,11
Team=Cape Verde,RYAN,20
Team=Cape Verde,SEMEDO,17
Team=Cape Verde,STOPIRA,2
Team=Cape Verde,VOZINHA,1
Team=Cape Verde,WAGNER P.,24
Team=Cape Verde,Y. SEMEDO,16
Team=Columbia,A. GOMEZ,26
Team=Columbia,ARIAS,4
Team=Columbia,C. HERNANDEZ,19
Team=Columbia,C. VARGAS,12
Team=Columbia,CAMPAZ,21
Team=Columbia,CARRASCAL,8
Team=Columbia,CORDOBA,9
Team=Columbia,D. MUÑOZ,2
Team=Columbia,J. ARIAS,11
Team=Columbia,J. LERMA,16
Team=Columbia,J. LUCUMI,3
Team=Columbia,J. MOJICA,17
Team=Columbia,JAMES,10
Team=Columbia,K. CASTAÑO,5
Team=Columbia,LUIS DIAZ,7
Team=Columbia,MACHADO,22
Team=Columbia,MONTERO,24
Team=Columbia,OSPINA,1
Team=Columbia,PORTILLA,15
Team=Columbia,PUERTA,14
Team=Columbia,QUINTERO,20
Team=Columbia,RICHARD RIOS,6
Team=Columbia,SANCHEZ,23
Team=Columbia,SUAREZ,25
Team=Columbia,W. DITTA,18
Team=Columbia,Y. MINA,13
Team=Croatia,BATURINA,16
Team=Croatia,BUDIMIR,11
Team=Croatia,ERLIĆ,25
Team=Croatia,FRUK,19
Team=Croatia,GVARDIOL,4
Team=Croatia,JAKIĆ,18
Team=Croatia,KOTARSKI,23
Team=Croatia,KOVAČIĆ,8
