"tipo_ranking","nombre_jugador","metrica"
Goleadores más Tempraneros (Minuto),Ismael Saibari,2.0
Goleadores más Tempraneros (Minuto),Leroy Aziz Sané,2.0
Goleadores más Tempraneros (Minuto),Matias Galarza Fonda,2.0
Goleadores más Tempraneros (Minuto),Auston Levi-Jesaiah Trusty,3.0
Goleadores más Tempraneros (Minuto),Declan Rice,3.0
Goleadores más Tardíos (Minuto),Lautaro Javier Martínez,120.0
Goleadores más Tardíos (Minuto),Youri Marion A Tielemans,120.0
Goleadores más Tardíos (Minuto),Julián Álvarez,112.0
Goleadores más Tardíos (Minuto),Ferran Torres García,106.0
Goleadores más Tardíos (Minuto),Sidny Lopes Cabral,103.0
Goles Anotados,Kylian Mbappé Lottin,10.0
Goles Anotados,Lionel Andrés Messi,8.0
Goles Anotados,Erling Braut Haaland,7.0
Goles Anotados,Jude Victor William Bellingham,7.0
Goles Anotados,Harry Edward Kane,6.0
Pases de Gol (Asistencias),Michael Akpovie Olise,7.0
Pases de Gol (Asistencias),Brahim Abdelkader Diaz,4.0
Pases de Gol (Asistencias),Bruno Guimarães Rodrigues Moura,4.0
Pases de Gol (Asistencias),Kylian Mbappé Lottin,4.0
Pases de Gol (Asistencias),Lionel Andrés Messi,4.0
Impacto Ofensivo (Goles + Asis),Kylian Mbappé Lottin,14.0
Impacto Ofensivo (Goles + Asis),Lionel Andrés Messi,12.0
Impacto Ofensivo (Goles + Asis),Jude Victor William Bellingham,8.0
Impacto Ofensivo (Goles + Asis),Masour Ousmane Dembélé,8.0
Impacto Ofensivo (Goles + Asis),Erling Braut Haaland,7.0
Tarjetas Amarillas,Issa Laye Lucas Jean Diop,3.0
Tarjetas Amarillas,Abdukodir Khusanov,2.0
Tarjetas Amarillas,Ahmed Fathy M Abdoulla,2.0
Tarjetas Amarillas,Alan Steven Franco Palma,2.0
Tarjetas Amarillas,Amir Fouad Aboud Al-Ammari,2.0
Tarjetas Rojas,Agustín Canobbio,1.0
Tarjetas Rojas,Assim Omer A Madibo,1.0
Tarjetas Rojas,Breel Donald Embolo,1.0
Tarjetas Rojas,César Jasib Montes Castro,1.0
Tarjetas Rojas,Enzo Jeremías Fernández,1.0
Titulares Sustituidos,Alejandro Baena Rodríguez,7.0
Titulares Sustituidos,Daniel Olmo Carvajal,6.0
Titulares Sustituidos,Mikel Oyarzabal Ugarte,6.0
Titulares Sustituidos,Alexander Sørloth,5.0
Titulares Sustituidos,Bilal El Khannouss,5.0
Entradas como Revulsivo,Ferran Torres García,7.0
Entradas como Revulsivo,Mikel Merino Zazón,7.0
Entradas como Revulsivo,Mathis Rayan Cherki,6.0
Entradas como Revulsivo,Nicholas Williams Arthuer,6.0
Entradas como Revulsivo,Nicolas Hernan Gonzalo Otamendi,6.0
Partidos como Capitán,Kylian Mbappé Lottin,8.0
Partidos como Capitán,Rodrigo Hernández Cascante,8.0
Partidos como Capitán,Harry Edward Kane,7.0
Partidos como Capitán,Lionel Andrés Messi,7.0
Partidos como Capitán,Achraf Hakimi,6.0
Penaltis Convertidos,Granit Xhaka,2.0
Penaltis Convertidos,Harry Edward Kane,2.0
Penaltis Convertidos,Awer Bul Mabil,1.0
Penaltis Convertidos,Breel Donald Embolo,1.0
Penaltis Convertidos,Bukayo Ayoyinka Saka,1.0
Penaltis Atajados (Porteros),Mostafa Ahmed Abdelaziz Mohamed Shoubir,2.0
Penaltis Atajados (Porteros),Orlando Daniel Gill Noldin,2.0
Penaltis Atajados (Porteros),Yassine Bounou,2.0
Penaltis Atajados (Porteros),Gregor Kobel,1.0
Penaltis Atajados (Porteros),Manuel Peter Neuer,1.0
Goles de Jóvenes (<=21 años),Johan Kula Manzambi,3.0
Goles de Jóvenes (<=21 años),Ermin Mahmić,2.0
Goles de Jóvenes (<=21 años),Alexander Michael Freeman,1.0
Goles de Jóvenes (<=21 años),Antonio Eromonsele Nordby Nusa,1.0
Goles de Jóvenes (<=21 años),Arda Güler,1.0
Partidos Completos (Incombustibles),Damián Emiliano Martínez,8.0
Partidos Completos (Incombustibles),Marc Cucurella Saseta,8.0
Partidos Completos (Incombustibles),Mike Peterson Maignan,8.0
Partidos Completos (Incombustibles),Pau Cubarsí i Paredes,8.0
Partidos Completos (Incombustibles),Unai Simón Mendibil,8.0
Goleadores más Veteranos,Cristiano Ronaldo Dos Santos Aveiro,41.0
Goleadores más Veteranos,Lionel Andrés Messi,38.0
Goleadores más Veteranos,Ivan Perišić,37.0
Goleadores más Veteranos,Marko Arnautovic,37.0
Goleadores más Veteranos,Ramin Rezaeiansemeskandi,36.0
