"tipo_ranking","nombre_equipo","metrica"
Posesión Media (%),Turquía,66.00
Posesión Media (%),Alemania,65.50
Posesión Media (%),España,63.88
Posesión Media (%),Corea del Sur,62.67
Posesión Media (%),Argelia,61.00
Tiros a Puerta (Media/Part.),Francia,7.38
Tiros a Puerta (Media/Part.),Alemania,7.00
Tiros a Puerta (Media/Part.),España,6.75
Tiros a Puerta (Media/Part.),Inglaterra,6.63
Tiros a Puerta (Media/Part.),Canadá,6.20
Tiros Totales (Media/Part.),Turquía,23.67
Tiros Totales (Media/Part.),Colombia,18.80
Tiros Totales (Media/Part.),Bélgica,18.67
Tiros Totales (Media/Part.),Alemania,18.50
Tiros Totales (Media/Part.),España,17.50
Córners a Favor (Media/Part.),Canadá,10.00
Córners a Favor (Media/Part.),Uruguay,8.67
Córners a Favor (Media/Part.),Alemania,8.50
Córners a Favor (Media/Part.),Turquía,7.33
Córners a Favor (Media/Part.),España,6.75
Faltas Cometidas (Media/Part.),Haití,18.33
Faltas Cometidas (Media/Part.),Panamá,15.33
Faltas Cometidas (Media/Part.),Bosnia y Herzegovina,15.00
Faltas Cometidas (Media/Part.),Uzbekistán,15.00
Faltas Cometidas (Media/Part.),Suiza,14.50
Faltas Recibidas (Media/Part.),Marruecos,15.33
Faltas Recibidas (Media/Part.),Suiza,15.00
Faltas Recibidas (Media/Part.),Haití,14.67
Faltas Recibidas (Media/Part.),Inglaterra,14.63
Faltas Recibidas (Media/Part.),Canadá,14.60
Paradas (Media/Part.),Curazao,6.67
Paradas (Media/Part.),Arabia Saudí,5.33
Paradas (Media/Part.),Irán,5.00
Paradas (Media/Part.),Paraguay,4.60
Paradas (Media/Part.),Cabo Verde,4.50
Goles Marcados (Media/Part.),Alemania,2.75
Goles Marcados (Media/Part.),Francia,2.50
Goles Marcados (Media/Part.),Inglaterra,2.50
Goles Marcados (Media/Part.),Países Bajos,2.50
Goles Marcados (Media/Part.),Senegal,2.50
Menos Goles Encajados (Media/Part.),España,0.13
Menos Goles Encajados (Media/Part.),Colombia,0.20
Menos Goles Encajados (Media/Part.),México,0.60
Menos Goles Encajados (Media/Part.),Portugal,0.60
Menos Goles Encajados (Media/Part.),Australia,0.75
Récord: Más Goles en 1 Partido,Alemania,7
Récord: Más Goles en 1 Partido,Inglaterra,6
Récord: Más Goles en 1 Partido,Bélgica,5
Récord: Más Goles en 1 Partido,Canadá,5
Récord: Más Goles en 1 Partido,Países Bajos,5
Tarjetas Amarillas (Media/Part.),Curazao,2.33
Tarjetas Amarillas (Media/Part.),Haití,2.33
Tarjetas Amarillas (Media/Part.),Canadá,2.20
Tarjetas Amarillas (Media/Part.),Egipto,2.20
Tarjetas Amarillas (Media/Part.),Arabia Saudí,2.00
Tarjetas Rojas (Media/Part.),Catar,0.67
Tarjetas Rojas (Media/Part.),Sudáfrica,0.50
Tarjetas Rojas (Media/Part.),Irak,0.33
Tarjetas Rojas (Media/Part.),Uruguay,0.33
Tarjetas Rojas (Media/Part.),Argentina,0.25
Eficacia Goleadora (%),Austria,62.50
Eficacia Goleadora (%),Japón,61.54
Eficacia Goleadora (%),República Democrática del Congo,55.56
Eficacia Goleadora (%),Ghana,50.00
Eficacia Goleadora (%),Irak,50.00
Penaltis a Favor (Media/Part.),Brasil,0.40
Penaltis a Favor (Media/Part.),Argentina,0.38
Penaltis a Favor (Media/Part.),Inglaterra,0.38
Penaltis a Favor (Media/Part.),Irán,0.33
Penaltis a Favor (Media/Part.),Suiza,0.33
Porterías a Cero (%),España,87.50
Porterías a Cero (%),Colombia,80.00
Porterías a Cero (%),México,80.00
Porterías a Cero (%),Australia,50.00
Porterías a Cero (%),Cabo Verde,50.00
